invno,invdt,invamt,compname,comptown,toid,pname,ppack,mfgname,batch_no,hsncode,expmnth,mrp,prate,rate,qty,free,disrt,disamnt,vatamt,vatrt,vaton,prdamt,stype,
AD-F003239,08/09/2026,8301.00,ARIHANT DISTRIBUTORS,RAYAGADA,KRIRAY014001,PRIMOLUT-N TAB ,10S ,CADILA H C (GYNNEST),SB00184A,30043190 ,02/29,57.53,43.83,43.83,5,0,3.00,0.00,10.62,5.00,1,223.20,1,
AD-F003239,08/09/2026,8301.00,ARIHANT DISTRIBUTORS,RAYAGADA,KRIRAY014001,P-500MG TAB ,15S ,APEX NEW DIV,PFT26041,30049069 ,06/29,14.65,11.16,11.16,11,1,3.00,0.00,5.96,5.00,1,125.04,1,
AD-F003239,08/09/2026,8301.00,ARIHANT DISTRIBUTORS,RAYAGADA,KRIRAY014001,LIPIKIND-20 MG TAB ,10S ,MANKIND PHARMA PVT LTD,E15Z013,30049099 ,05/28,62.62,47.71,47.71,2,0,3.00,0.00,4.62,5.00,1,97.18,1,
AD-F003239,08/09/2026,8301.00,ARIHANT DISTRIBUTORS,RAYAGADA,KRIRAY014001,UNWANTED-72 ,2S ,MANKIND PHARMA (SPECIAL),5AALZ009,30066010 ,01/28,76.00,60.80,60.80,5,5,3.00,0.00,0.00,0.00,1,294.88,1,
AD-F003239,08/09/2026,8301.00,ARIHANT DISTRIBUTORS,RAYAGADA,KRIRAY014001,UNWANTED-21 TAB ,21S ,MANKIND PHARMA (SPECIAL),N3ALZ031,30066010 ,03/28,67.00,53.60,53.60,5,5,3.00,0.00,0.00,0.00,1,259.96,1,
AD-F003239,08/09/2026,8301.00,ARIHANT DISTRIBUTORS,RAYAGADA,KRIRAY014001,LIPIROSE-10MG TAB ,10S ,MANKIND PHARMA (FUTURE),Z65Z006,30049099 ,05/28,133.86,101.99,101.99,3,0,3.00,0.00,14.84,5.00,1,311.63,1,
AD-F003239,08/09/2026,8301.00,ARIHANT DISTRIBUTORS,RAYAGADA,KRIRAY014001,CANDID B CREAM ,10GM ,GLENMARK PHARMA LTD ( CANDID),11260803,30049029 ,05/28,141.50,107.81,107.81,2,0,3.00,0.00,10.46,5.00,1,219.61,1,
AD-F003239,08/09/2026,8301.00,ARIHANT DISTRIBUTORS,RAYAGADA,KRIRAY014001,SPORLAC POWDER ,4S ,JB CHEMICALS ( SPORLAC ),BBA26017,30049099 ,04/28,49.77,37.92,37.92,12,0,3.00,0.00,22.06,5.00,1,463.45,1,
AD-F003239,08/09/2026,8301.00,ARIHANT DISTRIBUTORS,RAYAGADA,KRIRAY014001,MONOCEF SB 1GM INJ ,VAIL ,ARISTO PHARMA LTD (MF4),DLE260184,30042019 ,04/28,230.00,175.24,175.24,5,8,3.00,0.00,42.50,5.00,1,892.41,1,
AD-F003239,08/09/2026,8301.00,ARIHANT DISTRIBUTORS,RAYAGADA,KRIRAY014001,OVABLESS TAB ,10S ,MANKIND LIFESTAR (STAR),5AAIZ017,21069099 ,09/27,222.00,169.14,169.14,4,0,3.00,0.00,32.82,5.00,1,689.08,1,
AD-F003239,08/09/2026,8301.00,ARIHANT DISTRIBUTORS,RAYAGADA,KRIRAY014001,LEVOMAC-750MG TAB ,5S ,MACLEODS PHARMA (TBCARE),18261087A,30042039 ,02/29,132.94,101.29,101.29,2,0,3.00,0.00,9.82,5.00,1,206.32,1,
AD-F003239,08/09/2026,8301.00,ARIHANT DISTRIBUTORS,RAYAGADA,KRIRAY014001,LEVOMAC-500MG TAB ,10S ,MACLEODS PHARMA (TBCARE),18262369A,30042039 ,04/29,96.64,73.63,73.63,2,0,3.00,0.00,7.14,5.00,1,149.98,1,
AD-F003239,08/09/2026,8301.00,ARIHANT DISTRIBUTORS,RAYAGADA,KRIRAY014001,CALCIGARD-RTD 20 TAB ,10S ,TORRENT PHARMA LTD (DELTA),2AL2N002,30049072 ,01/28,78.95,60.15,60.15,5,0,3.00,0.00,14.58,5.00,1,306.31,1,
AD-F003239,08/09/2026,8301.00,ARIHANT DISTRIBUTORS,RAYAGADA,KRIRAY014001,AMLOVAS-2.5 MG TAB ,15S ,MACLEODS PHARMA (PRO-A),18262115A,30049072 ,04/30,28.82,21.96,21.96,5,0,3.00,0.00,5.32,5.00,1,111.83,1,
AD-F003239,08/09/2026,8301.00,ARIHANT DISTRIBUTORS,RAYAGADA,KRIRAY014001,ASCORIL LS EXPT ,100ML ,GLENMARK PHARMA LTD (MAJESTA M,11260665,30049099 ,04/28,158.00,120.38,120.38,5,0,3.00,0.00,29.20,5.00,1,613.04,1,
AD-F003239,08/09/2026,8301.00,ARIHANT DISTRIBUTORS,RAYAGADA,KRIRAY014001,TAXIM 250MG INJ ,1VAIL ,Z ALKEM HC(TAXIM) ( RGDA),26460541,30042019 ,09/28,19.03,15.22,15.22,9,1,3.00,0.00,6.64,5.00,1,139.51,1,
AD-F003239,08/09/2026,8301.00,ARIHANT DISTRIBUTORS,RAYAGADA,KRIRAY014001,TAXIM 500MG INJ ,1 VIAL ,Z ALKEM HC(TAXIM) ( RGDA),25180985,30042019 ,05/28,26.03,20.82,20.82,9,1,3.00,0.00,9.08,5.00,1,190.84,1,
AD-F003239,08/09/2026,8301.00,ARIHANT DISTRIBUTORS,RAYAGADA,KRIRAY014001,TAXIM 1 GM INJ ,1 VIAL ,Z ALKEM HC(TAXIM) ( RGDA),25180318,30042019 ,09/27,45.52,34.68,34.68,9,1,3.00,0.00,15.14,5.00,1,317.90,1,
AD-F003239,08/09/2026,8301.00,ARIHANT DISTRIBUTORS,RAYAGADA,KRIRAY014001,STROCIT  PLUS ,10 S ,SUN PHARMACEUTICALS SOLITRA,GKH0541A,30049079 ,03/28,901.00,686.48,686.48,1,0,3.00,0.00,34.32,5.00,1,720.80,1,
AD-F003239,08/09/2026,8301.00,ARIHANT DISTRIBUTORS,RAYAGADA,KRIRAY014001,STROCIT  PLUS ,10 S ,SUN PHARMACEUTICALS SOLITRA,GKH0542A,30049079 ,04/28,901.00,686.48,686.48,2,0,3.00,0.00,68.64,5.00,1,1441.60,1,
AD-F003239,08/09/2026,8301.00,ARIHANT DISTRIBUTORS,RAYAGADA,KRIRAY014001,POTKLOR SYP ,200ML ,WALTER BUSHNELL (STAR),LPR1774,30045010 ,12/27,64.10,51.28,51.28,3,0,3.00,0.00,7.46,5.00,1,156.68,1,
AD-F003239,08/09/2026,8301.00,ARIHANT DISTRIBUTORS,RAYAGADA,KRIRAY014001,INSTARAFT SYP ,200ML ,SUN PHARMACEUTICALS ARIAN,LND0100,30049032 ,06/28,231.00,176.00,176.00,2,0,3.00,0.00,17.60,5.00,1,369.60,1,
